biosample,Shannon_5000,Richness_5000,Chao1_5000,Shannon_1000,Richness_1000,Chao1_1000,Shannon_Alphaproteo_5000,Richness_Alphaproteo_5000,Chao1_Alphaproteo_5000,Shannon_Cyano_5000,Richness_Cyano_5000,Chao1_Cyano_5000,Shannon_Alphaproteo_1000,Richness_Alphaproteo_1000,Chao1_Alphaproteo_1000,Shannon_Cyano_1000,Richness_Cyano_1000,Chao1_Cyano_1000
SAMN05421555,,,,3.66850206381337,135,196.384615384615,,,,,,,2.82043588493319,45,69.4285714285714,,,
SAMN05421561,3.46818864837302,241,294.926829268293,3.38227279185901,132,212.454545454545,1.81051078698751,67,77.9090909090909,0,1,1,1.72814778377389,34,53.125,0,1,1
SAMN05421563,,,,3.69574463554316,138,232.55,,,,,,,2.30054310073479,24,54.3333333333333,0,1,1
SAMN05421660,,,,3.53772829363009,113,152,,,,,,,2.31654865805132,21,26.6,0,1,1
SAMN05421697,,,,3.65888613941651,138,188.090909090909,,,,,,,2.53618018794452,40,43.75,,,
SAMN05421699,4.26843464166109,295,394.666666666667,4.14237629634008,165,274.5,3.08029898210422,83,108,0,1,1,2.85323338245425,38,106,0,1,1
SAMN05421703,,,,3.98308933686092,152,231.444444444444,,,,,,,2.80651565112969,38,55,0,1,1
SAMN05421706,4.02451996752707,269,325.162790697674,3.90039525680364,144,197.260869565217,3.02128554132521,68,81.9090909090909,0,1,1,2.81717808690005,34,52.2,,,
SAMN05421707,,,,3.95612121901075,131,180.04347826087,,,,,,,2.66173251907374,31,46.6,,,
SAMN05421901,,,,3.94361787016782,127,164.434782608696,,,,,,,2.37083114443194,25,29.6666666666667,,,
SAMN05421913,,,,3.84719448909339,152,221.51724137931,,,,,,,2.58622462569892,42,55.3333333333333,,,
SAMN05422104,,,,3.83702394840204,152,227.677419354839,,,,,,,2.60223466903289,41,52.6666666666667,,,
SAMN05422106,,,,3.63806525671495,142,225.785714285714,,,,,,,2.35914761470241,43,85,0.693147180559945,2,3
SAMN05422107,,,,3.67171349956896,121,162,,,,,,,2.37308058390063,22,26.2,,,
