y,January,February,March,April,May,June,July,August,September,October,November,December,clade,stat_type
-89.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-89.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-89.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-89.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-89.5,,,,,,,,,,,,,class_Bacteroidia,mean
-89.5,,,,,,,,,,,,,class_Bacteroidia,sd
-89.5,,,,,,,,,,,,,class_Chlamydiia,mean
-89.5,,,,,,,,,,,,,class_Chlamydiia,sd
-89.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-89.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-89.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-89.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-89.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-89.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-89.5,,,,,,,,,,,,,class_Marinisomatia,mean
-89.5,,,,,,,,,,,,,class_Marinisomatia,sd
-89.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-89.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-89.5,,,,,,,,,,,,,class_Poseidoniia,mean
-89.5,,,,,,,,,,,,,class_Poseidoniia,sd
-89.5,,,,,,,,,,,,,class_SAR324,mean
-89.5,,,,,,,,,,,,,class_SAR324,sd
-89.5,,,,,,,,,,,,,class_UBA1144,mean
-89.5,,,,,,,,,,,,,class_UBA1144,sd
-89.5,,,,,,,,,,,,,class_UBA4151,mean
-89.5,,,,,,,,,,,,,class_UBA4151,sd
-89.5,,,,,,,,,,,,,class_UBA796,mean
-89.5,,,,,,,,,,,,,class_UBA796,sd
-89.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-89.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-89.5,,,,,,,,,,,,,domain_Archaea,mean
-89.5,,,,,,,,,,,,,domain_Archaea,sd
-89.5,,,,,,,,,,,,,domain_Bacteria,mean
-89.5,,,,,,,,,,,,,domain_Bacteria,sd
-89.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-89.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-89.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-89.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-89.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-89.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-89.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-89.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-89.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-89.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-89.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-89.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-89.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-89.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-89.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-89.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-89.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-89.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-89.5,,,,,,,,,,,,,phylum_SAR324,mean
-89.5,,,,,,,,,,,,,phylum_SAR324,sd
-89.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-89.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-89.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-89.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-88.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-88.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-88.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-88.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-88.5,,,,,,,,,,,,,class_Bacteroidia,mean
-88.5,,,,,,,,,,,,,class_Bacteroidia,sd
-88.5,,,,,,,,,,,,,class_Chlamydiia,mean
-88.5,,,,,,,,,,,,,class_Chlamydiia,sd
-88.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-88.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-88.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-88.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-88.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-88.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-88.5,,,,,,,,,,,,,class_Marinisomatia,mean
-88.5,,,,,,,,,,,,,class_Marinisomatia,sd
-88.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-88.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-88.5,,,,,,,,,,,,,class_Poseidoniia,mean
-88.5,,,,,,,,,,,,,class_Poseidoniia,sd
-88.5,,,,,,,,,,,,,class_SAR324,mean
-88.5,,,,,,,,,,,,,class_SAR324,sd
-88.5,,,,,,,,,,,,,class_UBA1144,mean
-88.5,,,,,,,,,,,,,class_UBA1144,sd
-88.5,,,,,,,,,,,,,class_UBA4151,mean
-88.5,,,,,,,,,,,,,class_UBA4151,sd
-88.5,,,,,,,,,,,,,class_UBA796,mean
-88.5,,,,,,,,,,,,,class_UBA796,sd
-88.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-88.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-88.5,,,,,,,,,,,,,domain_Archaea,mean
-88.5,,,,,,,,,,,,,domain_Archaea,sd
-88.5,,,,,,,,,,,,,domain_Bacteria,mean
-88.5,,,,,,,,,,,,,domain_Bacteria,sd
-88.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-88.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-88.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-88.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-88.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-88.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-88.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-88.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-88.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-88.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-88.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-88.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-88.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-88.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-88.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-88.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-88.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-88.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-88.5,,,,,,,,,,,,,phylum_SAR324,mean
-88.5,,,,,,,,,,,,,phylum_SAR324,sd
-88.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-88.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-88.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-88.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-87.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-87.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-87.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-87.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-87.5,,,,,,,,,,,,,class_Bacteroidia,mean
-87.5,,,,,,,,,,,,,class_Bacteroidia,sd
-87.5,,,,,,,,,,,,,class_Chlamydiia,mean
-87.5,,,,,,,,,,,,,class_Chlamydiia,sd
-87.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-87.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-87.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-87.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-87.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-87.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-87.5,,,,,,,,,,,,,class_Marinisomatia,mean
-87.5,,,,,,,,,,,,,class_Marinisomatia,sd
-87.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-87.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-87.5,,,,,,,,,,,,,class_Poseidoniia,mean
-87.5,,,,,,,,,,,,,class_Poseidoniia,sd
-87.5,,,,,,,,,,,,,class_SAR324,mean
-87.5,,,,,,,,,,,,,class_SAR324,sd
-87.5,,,,,,,,,,,,,class_UBA1144,mean
-87.5,,,,,,,,,,,,,class_UBA1144,sd
-87.5,,,,,,,,,,,,,class_UBA4151,mean
-87.5,,,,,,,,,,,,,class_UBA4151,sd
-87.5,,,,,,,,,,,,,class_UBA796,mean
-87.5,,,,,,,,,,,,,class_UBA796,sd
-87.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-87.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-87.5,,,,,,,,,,,,,domain_Archaea,mean
-87.5,,,,,,,,,,,,,domain_Archaea,sd
-87.5,,,,,,,,,,,,,domain_Bacteria,mean
-87.5,,,,,,,,,,,,,domain_Bacteria,sd
-87.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-87.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
