Var1,Var2,value
Acidimicrobiia,Acidimicrobiia,0
Cyanobacteriia,Acidimicrobiia,0.9575919
Bacteroidia,Acidimicrobiia,1.1681675
Marinisomatia,Acidimicrobiia,1.0319115
Fibrobacteria,Acidimicrobiia,0.9501945
UBA1144,Acidimicrobiia,0.9249847
SAR324,Acidimicrobiia,1.0458387
UBA796,Acidimicrobiia,0.9846309
XYA12-FULL-58-9,Acidimicrobiia,1.0157766
UBA4151,Acidimicrobiia,1.4518709
Alphaproteobacteria,Acidimicrobiia,0.9080541
Gammaproteobacteria,Acidimicrobiia,0.9852521
Chlamydiia,Acidimicrobiia,1.2102833
Acidimicrobiia,Cyanobacteriia,0.9575919
Cyanobacteriia,Cyanobacteriia,0
Bacteroidia,Cyanobacteriia,1.2519896
Marinisomatia,Cyanobacteriia,1.1157336
Fibrobacteria,Cyanobacteriia,1.0340166
UBA1144,Cyanobacteriia,1.0088068
SAR324,Cyanobacteriia,1.1296608
UBA796,Cyanobacteriia,1.068453
XYA12-FULL-58-9,Cyanobacteriia,1.0995987
UBA4151,Cyanobacteriia,1.535693
Alphaproteobacteria,Cyanobacteriia,0.9918762
Gammaproteobacteria,Cyanobacteriia,1.0690742
Chlamydiia,Cyanobacteriia,1.2941054
Acidimicrobiia,Bacteroidia,1.1681675
Cyanobacteriia,Bacteroidia,1.2519896
Bacteroidia,Bacteroidia,0
Marinisomatia,Bacteroidia,0.704776
Fibrobacteria,Bacteroidia,0.927203
UBA1144,Bacteroidia,1.0603682
SAR324,Bacteroidia,1.1812222
UBA796,Bacteroidia,1.1200144
XYA12-FULL-58-9,Bacteroidia,1.1511601
UBA4151,Bacteroidia,1.5872544
Alphaproteobacteria,Bacteroidia,1.0434376
Gammaproteobacteria,Bacteroidia,1.1206356
Chlamydiia,Bacteroidia,1.3898682
Acidimicrobiia,Marinisomatia,1.0319115
Cyanobacteriia,Marinisomatia,1.1157336
Bacteroidia,Marinisomatia,0.704776
Marinisomatia,Marinisomatia,0
Fibrobacteria,Marinisomatia,0.790947
UBA1144,Marinisomatia,0.9241122
SAR324,Marinisomatia,1.0449662
UBA796,Marinisomatia,0.9837584
XYA12-FULL-58-9,Marinisomatia,1.0149041
UBA4151,Marinisomatia,1.4509984
Alphaproteobacteria,Marinisomatia,0.9071816
Gammaproteobacteria,Marinisomatia,0.9843796
Chlamydiia,Marinisomatia,1.2536122
Acidimicrobiia,Fibrobacteria,0.9501945
Cyanobacteriia,Fibrobacteria,1.0340166
Bacteroidia,Fibrobacteria,0.927203
Marinisomatia,Fibrobacteria,0.790947
Fibrobacteria,Fibrobacteria,0
UBA1144,Fibrobacteria,0.8423952
SAR324,Fibrobacteria,0.9632492
UBA796,Fibrobacteria,0.9020414
XYA12-FULL-58-9,Fibrobacteria,0.9331871
UBA4151,Fibrobacteria,1.3692814
Alphaproteobacteria,Fibrobacteria,0.8254646
Gammaproteobacteria,Fibrobacteria,0.9026626
Chlamydiia,Fibrobacteria,1.1718952
Acidimicrobiia,UBA1144,0.9249847
Cyanobacteriia,UBA1144,1.0088068
