y,genus,mean_annual
-89.5,genus_AAA300-D14,
-88.5,genus_AAA300-D14,
-87.5,genus_AAA300-D14,
-86.5,genus_AAA300-D14,
-85.5,genus_AAA300-D14,
-84.5,genus_AAA300-D14,
-83.5,genus_AAA300-D14,
-82.5,genus_AAA300-D14,
-81.5,genus_AAA300-D14,
-80.5,genus_AAA300-D14,
-79.5,genus_AAA300-D14,
-78.5,genus_AAA300-D14,
-77.5,genus_AAA300-D14,
-76.5,genus_AAA300-D14,
-75.5,genus_AAA300-D14,
-74.5,genus_AAA300-D14,
-73.5,genus_AAA300-D14,
-72.5,genus_AAA300-D14,
-71.5,genus_AAA300-D14,
-70.5,genus_AAA300-D14,0.320574813656316
-69.5,genus_AAA300-D14,0.453606795734651
-68.5,genus_AAA300-D14,0.419258755266265
-67.5,genus_AAA300-D14,0.428247021214879
-66.5,genus_AAA300-D14,0.41997926877945
-65.5,genus_AAA300-D14,0.389112912825769
-64.5,genus_AAA300-D14,0.400193235663153
-63.5,genus_AAA300-D14,0.405684724615321
-62.5,genus_AAA300-D14,0.401071634579675
-61.5,genus_AAA300-D14,0.393060243613889
-60.5,genus_AAA300-D14,0.386874343889797
-59.5,genus_AAA300-D14,0.377397994805256
-58.5,genus_AAA300-D14,0.36894852923277
-57.5,genus_AAA300-D14,0.358159467077637
-56.5,genus_AAA300-D14,0.348731861493164
-55.5,genus_AAA300-D14,0.340316154293344
-54.5,genus_AAA300-D14,0.328228944134018
-53.5,genus_AAA300-D14,0.319787637636906
-52.5,genus_AAA300-D14,0.320495120754004
-51.5,genus_AAA300-D14,0.32680626782259
-50.5,genus_AAA300-D14,0.331102117086994
-49.5,genus_AAA300-D14,0.348005366936626
-48.5,genus_AAA300-D14,0.372703912297354
-47.5,genus_AAA300-D14,0.395329087515961
-46.5,genus_AAA300-D14,0.42114270665949
-45.5,genus_AAA300-D14,0.444600084094021
-44.5,genus_AAA300-D14,0.468935508988468
-43.5,genus_AAA300-D14,0.500418899371202
-42.5,genus_AAA300-D14,0.544264997275177
-41.5,genus_AAA300-D14,0.601136160947138
-40.5,genus_AAA300-D14,0.682627958127607
-39.5,genus_AAA300-D14,0.771454217834095
-38.5,genus_AAA300-D14,0.870036203473397
-37.5,genus_AAA300-D14,0.971574011822421
-36.5,genus_AAA300-D14,1.08209253711106
-35.5,genus_AAA300-D14,1.18641107021254
-34.5,genus_AAA300-D14,1.29508308024715
-33.5,genus_AAA300-D14,1.41142072548006
-32.5,genus_AAA300-D14,1.49728983141599
-31.5,genus_AAA300-D14,1.58236142269463
-30.5,genus_AAA300-D14,1.62911954008515
-29.5,genus_AAA300-D14,1.6290359979549
-28.5,genus_AAA300-D14,1.61068160338255
-27.5,genus_AAA300-D14,1.57033797103056
-26.5,genus_AAA300-D14,1.52081881696417
-25.5,genus_AAA300-D14,1.47242504400553
-24.5,genus_AAA300-D14,1.43200479704689
-23.5,genus_AAA300-D14,1.38026023486847
-22.5,genus_AAA300-D14,1.33430322557984
-21.5,genus_AAA300-D14,1.28736025665606
-20.5,genus_AAA300-D14,1.24113916942526
-19.5,genus_AAA300-D14,1.18370225085689
-18.5,genus_AAA300-D14,1.14957753245882
-17.5,genus_AAA300-D14,1.11186302136424
-16.5,genus_AAA300-D14,1.07651361039907
-15.5,genus_AAA300-D14,1.05420549848705
-14.5,genus_AAA300-D14,1.03189712750882
-13.5,genus_AAA300-D14,1.0068333353001
-12.5,genus_AAA300-D14,0.982749750400978
-11.5,genus_AAA300-D14,0.950049983274329
-10.5,genus_AAA300-D14,0.912223954746628
-9.5,genus_AAA300-D14,0.881836486501972
-8.5,genus_AAA300-D14,0.849856676874032
-7.5,genus_AAA300-D14,0.82941209312908
-6.5,genus_AAA300-D14,0.813309994385673
-5.5,genus_AAA300-D14,0.801575231916742
-4.5,genus_AAA300-D14,0.796850983539813
-3.5,genus_AAA300-D14,0.798156902394419
-2.5,genus_AAA300-D14,0.795242646547143
-1.5,genus_AAA300-D14,0.779846631091726
-0.5,genus_AAA300-D14,0.755922235499736
0.5,genus_AAA300-D14,0.774318216592303
1.5,genus_AAA300-D14,0.820244385182278
2.5,genus_AAA300-D14,0.839374994848027
3.5,genus_AAA300-D14,0.837626406072387
4.5,genus_AAA300-D14,0.852486447878682
5.5,genus_AAA300-D14,0.864156994004824
6.5,genus_AAA300-D14,0.869363033651781
7.5,genus_AAA300-D14,0.877926644583315
8.5,genus_AAA300-D14,0.888219181813844
9.5,genus_AAA300-D14,0.890123884041639
10.5,genus_AAA300-D14,0.903736628757081
11.5,genus_AAA300-D14,0.904538814886758
12.5,genus_AAA300-D14,0.924819748313484
13.5,genus_AAA300-D14,0.942867251572497
14.5,genus_AAA300-D14,0.959766157625055
15.5,genus_AAA300-D14,0.982590176519742
16.5,genus_AAA300-D14,1.01856810574189
17.5,genus_AAA300-D14,1.03438670351184
18.5,genus_AAA300-D14,1.06219947449574
19.5,genus_AAA300-D14,1.07973841460315
20.5,genus_AAA300-D14,1.11333346218947
21.5,genus_AAA300-D14,1.1586109708977
22.5,genus_AAA300-D14,1.19823640122573
23.5,genus_AAA300-D14,1.22167317318347
24.5,genus_AAA300-D14,1.25091474360903
25.5,genus_AAA300-D14,1.32590368154744
26.5,genus_AAA300-D14,1.38091281951545
27.5,genus_AAA300-D14,1.40122474611596
28.5,genus_AAA300-D14,1.40328905518057
29.5,genus_AAA300-D14,1.44139181376389
30.5,genus_AAA300-D14,1.42813195519492
31.5,genus_AAA300-D14,1.38789716659575
32.5,genus_AAA300-D14,1.31954672303415
33.5,genus_AAA300-D14,1.2594516286987
34.5,genus_AAA300-D14,1.23155339632405
35.5,genus_AAA300-D14,1.15997834747122
36.5,genus_AAA300-D14,1.08540638588752
37.5,genus_AAA300-D14,1.01246793687437
38.5,genus_AAA300-D14,0.893316282439053
39.5,genus_AAA300-D14,0.823568447151446
40.5,genus_AAA300-D14,0.723845117246057
41.5,genus_AAA300-D14,0.623536396225051
42.5,genus_AAA300-D14,0.53878243682666
43.5,genus_AAA300-D14,0.476599844087749
44.5,genus_AAA300-D14,0.450807638714951
45.5,genus_AAA300-D14,0.397012298078495
46.5,genus_AAA300-D14,0.350276806936224
47.5,genus_AAA300-D14,0.324308910353989
48.5,genus_AAA300-D14,0.296258629526104
49.5,genus_AAA300-D14,0.290098493412939
50.5,genus_AAA300-D14,0.275590480826193
51.5,genus_AAA300-D14,0.252690713618312
52.5,genus_AAA300-D14,0.244261037868198
53.5,genus_AAA300-D14,0.242080727115084
54.5,genus_AAA300-D14,0.23176388053195
55.5,genus_AAA300-D14,0.228975099811452
56.5,genus_AAA300-D14,0.218833209532544
57.5,genus_AAA300-D14,0.20341147163077
58.5,genus_AAA300-D14,0.191950862874812
59.5,genus_AAA300-D14,0.197983864234811
60.5,genus_AAA300-D14,0.206851607045766
61.5,genus_AAA300-D14,0.219582291983648
62.5,genus_AAA300-D14,0.227100580680131
63.5,genus_AAA300-D14,0.242528074257218
64.5,genus_AAA300-D14,0.242516481887871
65.5,genus_AAA300-D14,0.282316380033664
66.5,genus_AAA300-D14,0.268982554881769
67.5,genus_AAA300-D14,0.265933350183968
68.5,genus_AAA300-D14,0.287850214472337
69.5,genus_AAA300-D14,0.298910286494147
70.5,genus_AAA300-D14,0.313929520456412
71.5,genus_AAA300-D14,0.306923114348046
72.5,genus_AAA300-D14,0.296994031925266
73.5,genus_AAA300-D14,0.327792038916183
74.5,genus_AAA300-D14,0.335522757581049
75.5,genus_AAA300-D14,0.339541711763425
76.5,genus_AAA300-D14,0.381594536717411
77.5,genus_AAA300-D14,0.405647361671267
78.5,genus_AAA300-D14,0.414265138482184
79.5,genus_AAA300-D14,0.422901316211476
80.5,genus_AAA300-D14,0.397312456574717
81.5,genus_AAA300-D14,0.463060964413417
82.5,genus_AAA300-D14,
83.5,genus_AAA300-D14,
84.5,genus_AAA300-D14,
85.5,genus_AAA300-D14,
86.5,genus_AAA300-D14,
87.5,genus_AAA300-D14,
