sample_id,study_id,material,sequencing_method,collection_date,latitude,longitude,depth,study_name
SRS12324658,SRP364979,aquatic;sea,AMPLICON,2020-08-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324657,SRP364979,aquatic;sea,AMPLICON,2020-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324656,SRP364979,aquatic;sea,AMPLICON,2020-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324655,SRP364979,aquatic;sea,AMPLICON,2020-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324654,SRP364979,aquatic;sea,AMPLICON,2020-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324653,SRP364979,aquatic;sea,AMPLICON,2020-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324652,SRP364979,aquatic;sea,AMPLICON,2020-02-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324651,SRP364979,aquatic;sea,AMPLICON,2021-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324650,SRP364979,aquatic;sea,AMPLICON,2018-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324649,SRP364979,aquatic;sea,AMPLICON,2021-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324648,SRP364979,aquatic;sea,AMPLICON,2021-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324647,SRP364979,aquatic;sea,AMPLICON,2021-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324646,SRP364979,aquatic;sea,AMPLICON,2021-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324645,SRP364979,aquatic;sea,AMPLICON,2021-02-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324644,SRP364979,aquatic;sea,AMPLICON,2021-01-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324643,SRP364979,aquatic;sea,AMPLICON,2020-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324642,SRP364979,aquatic;sea,AMPLICON,2020-11-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324641,SRP364979,aquatic;sea,AMPLICON,2020-10-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324640,SRP364979,aquatic;sea,AMPLICON,2020-09-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324639,SRP364979,aquatic;sea,AMPLICON,2018-11-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12324638,SRP364979,aquatic;sea,AMPLICON,2018-10-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS18025957,SRP364979,aquatic;sea,AMPLICON,2021-08-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS18025954,SRP364979,aquatic;sea,AMPLICON,2021-09-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS18025953,SRP364979,aquatic;sea,AMPLICON,2021-10-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS18025956,SRP364979,aquatic;sea,AMPLICON,2021-11-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS18025952,SRP364979,aquatic;sea,AMPLICON,2021-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366652,SRP339229,aquatic;sea,AMPLICON,2019-10-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366651,SRP339229,aquatic;sea,AMPLICON,2019-09-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366650,SRP339229,aquatic;sea,AMPLICON,2019-08-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366649,SRP339229,aquatic;sea,AMPLICON,2019-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366648,SRP339229,aquatic;sea,AMPLICON,2019-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366647,SRP339229,aquatic;sea,AMPLICON,2019-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366646,SRP339229,aquatic;sea,AMPLICON,2019-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366645,SRP339229,aquatic;sea,AMPLICON,2019-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366644,SRP339229,aquatic;sea,AMPLICON,2020-01-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366643,SRP339229,aquatic;sea,AMPLICON,2019-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366642,SRP339229,aquatic;sea,AMPLICON,2019-11-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366640,SRP339229,aquatic;sea,AMPLICON,2019-02-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS10366641,SRP339229,aquatic;sea,AMPLICON,2019-01-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326414,SRP364989,aquatic;sea,AMPLICON,2019-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326413,SRP364989,aquatic;sea,AMPLICON,2019-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326412,SRP364989,aquatic;sea,AMPLICON,2019-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326411,SRP364989,aquatic;sea,AMPLICON,2019-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326410,SRP364989,aquatic;sea,AMPLICON,2019-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326409,SRP364989,aquatic;sea,AMPLICON,2019-02-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326408,SRP364989,aquatic;sea,AMPLICON,2021-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326407,SRP364989,aquatic;sea,AMPLICON,2021-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326406,SRP364989,aquatic;sea,AMPLICON,2021-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326405,SRP364989,aquatic;sea,AMPLICON,2021-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326404,SRP364989,aquatic;sea,AMPLICON,2019-01-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326403,SRP364989,aquatic;sea,AMPLICON,2021-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326402,SRP364989,aquatic;sea,AMPLICON,2021-02-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326401,SRP364989,aquatic;sea,AMPLICON,2021-01-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326400,SRP364989,aquatic;sea,AMPLICON,2020-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326399,SRP364989,aquatic;sea,AMPLICON,2020-11-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326398,SRP364989,aquatic;sea,AMPLICON,2020-10-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326397,SRP364989,aquatic;sea,AMPLICON,2020-09-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326396,SRP364989,aquatic;sea,AMPLICON,2020-08-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326395,SRP364989,aquatic;sea,AMPLICON,2020-07-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326394,SRP364989,aquatic;sea,AMPLICON,2020-06-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326393,SRP364989,aquatic;sea,AMPLICON,2018-12-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326392,SRP364989,aquatic;sea,AMPLICON,2020-05-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326391,SRP364989,aquatic;sea,AMPLICON,2020-04-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326390,SRP364989,aquatic;sea,AMPLICON,2020-03-01,45.7005556,13.70999999,NA,Trieste_time_series
SRS12326389,SRP364989,aquatic;sea,AMPLICON,2020-02-01,45.7005556,13.70999999,NA,Trieste_time_series
